,symbol,companyName,sectorKey,industryKey
3005,CNET,ZW Data Action Technologies Inc.,communication-services,advertising-agencies
3006,CNEY,CN Energy Group. Inc.,basic-materials,specialty-chemicals
3007,CNFR,"Conifer Holdings, Inc.",financial-services,insurance-property-casualty
3008,CNOB,"ConnectOne Bancorp, Inc.",financial-services,banks-regional
3009,CNSP,"CNS Pharmaceuticals, Inc.",healthcare,biotechnology
3010,CNTA,Centessa Pharmaceuticals plc,healthcare,biotechnology
3011,CNTB,Connect Biopharma Holdings Limited,healthcare,biotechnology
3012,CNTX,Context Therapeutics Inc.,healthcare,biotechnology
3013,CNTY,"Century Casinos, Inc.",consumer-cyclical,resorts-casinos
3014,CNVS,Cineverse Corp.,communication-services,entertainment
3015,CNXC,Concentrix Corporation,technology,information-technology-services
3016,CNXN,"PC Connection, Inc.",technology,electronics-computer-distribution
3017,COCH,"Envoy Medical, Inc.",healthcare,medical-devices
3018,COCO,"The Vita Coco Company, Inc.",consumer-defensive,beverages-non-alcoholic
3019,COCP,"Cocrystal Pharma, Inc.",healthcare,biotechnology
3020,CODA,"Coda Octopus Group, Inc.",industrials,aerospace-defense
3021,CODX,"Co-Diagnostics, Inc.",healthcare,medical-devices
3022,COEP,"Coeptis Therapeutics Holdings, Inc.",healthcare,biotechnology
3023,COFS,"ChoiceOne Financial Services, Inc.",financial-services,banks-regional
3024,COGT,"Cogent Biosciences, Inc.",healthcare,biotechnology
3025,COHU,"Cohu, Inc.",technology,semiconductor-equipment-materials
3026,COIN,"Coinbase Global, Inc.",financial-services,financial-data-stock-exchanges
3027,COKE,"Coca-Cola Consolidated, Inc.",consumer-defensive,beverages-non-alcoholic
3028,COLA,Columbus Acquisition Corp,financial-services,shell-companies
3029,COLB,"Columbia Banking System, Inc.",financial-services,banks-regional
3030,COLL,"Collegium Pharmaceutical, Inc.",healthcare,drug-manufacturers-specialty-generic
3031,COLM,Columbia Sportswear Company,consumer-cyclical,apparel-manufacturing
3032,COMM,"CommScope Holding Company, Inc.",technology,communication-equipment
3033,COO,"The Cooper Companies, Inc.",healthcare,medical-instruments-supplies
3034,COOP,Mr. Cooper Group Inc.,financial-services,mortgage-finance
3035,COOT,Australian Oilseeds Holdings Limited,consumer-defensive,packaged-foods
3036,CORT,Corcept Therapeutics Incorporated,healthcare,biotechnology
3037,CORZ,"Core Scientific, Inc.",technology,software-infrastructure
3038,COSM,Cosmos Health Inc.,healthcare,medical-distribution
3039,COST,Costco Wholesale Corporation,consumer-defensive,discount-stores
3040,COYA,"Coya Therapeutics, Inc.",healthcare,biotechnology
3041,CPB,The Campbell's Company,consumer-defensive,packaged-foods
3042,CPBI,"Central Plains Bancshares, Inc.",financial-services,banks-regional
3043,CPHC,Canterbury Park Holding Corporation,consumer-cyclical,resorts-casinos
3044,CPIX,Cumberland Pharmaceuticals Inc.,healthcare,drug-manufacturers-specialty-generic
3045,CPOP,"Pop Culture Group Co., Ltd",communication-services,entertainment
3046,CPRT,"Copart, Inc.",industrials,specialty-business-services
3047,CPRX,"Catalyst Pharmaceuticals, Inc.",healthcare,biotechnology
3048,CPSH,CPS Technologies Corporation,technology,electronic-components
3049,CPSS,"Consumer Portfolio Services, Inc.",financial-services,credit-services
3050,CPZ,Calamos Long/Short Equity & Dynamic Income Term Trust,financial-services,asset-management
3051,CRAI,"CRA International, Inc.",industrials,consulting-services
3052,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",healthcare,biotechnology
3053,CRBU,"Caribou Biosciences, Inc.",healthcare,biotechnology
3054,CRCT,"Cricut, Inc.",technology,computer-hardware
3055,CRDF,"Cardiff Oncology, Inc.",healthcare,biotechnology
3056,CRDL,Cardiol Therapeutics Inc.,healthcare,drug-manufacturers-specialty-generic
3057,CRDO,Credo Technology Group Holding Ltd,technology,semiconductors
3058,CREG,Smart Powerr Corp.,utilities,utilities-renewable
3059,CREV,Carbon Revolution Public Limited Company,consumer-cyclical,auto-parts
3060,CREX,"Creative Realities, Inc.",technology,software-application
3061,CRGO,Freightos Limited,industrials,integrated-freight-logistics
3062,CRGX,"CARGO Therapeutics, Inc.",healthcare,biotechnology
3063,CRIS,"Curis, Inc.",healthcare,biotechnology
3064,CRMD,CorMedix Inc.,healthcare,biotechnology
3065,CRML,Critical Metals Corp.,basic-materials,other-industrial-metals-mining
3066,CRMT,"America's Car-Mart, Inc.",consumer-cyclical,auto-truck-dealerships
3067,CRNC,Cerence Inc.,technology,software-application
3068,CRNT,Ceragon Networks Ltd.,technology,communication-equipment
3069,CRNX,"Crinetics Pharmaceuticals, Inc.",healthcare,biotechnology
3070,CRON,Cronos Group Inc.,healthcare,drug-manufacturers-specialty-generic
3071,CROX,"Crocs, Inc.",consumer-cyclical,footwear-accessories
3072,CRSP,CRISPR Therapeutics AG,healthcare,biotechnology
3073,CRSR,"Corsair Gaming, Inc.",technology,computer-hardware
3074,CRTO,Criteo S.A.,communication-services,advertising-agencies
3075,CRUS,"Cirrus Logic, Inc.",technology,semiconductors
3076,CRVL,CorVel Corporation,financial-services,insurance-brokers
3077,CRVO,CervoMed Inc.,healthcare,biotechnology
3078,CRVS,"Corvus Pharmaceuticals, Inc.",healthcare,biotechnology
3079,CRWD,"CrowdStrike Holdings, Inc.",technology,software-infrastructure
3080,CRWS,"Crown Crafts, Inc.",consumer-cyclical,furnishings-fixtures-appliances
3081,CRWV,"CoreWeave, Inc.",technology,software-infrastructure
3082,CSAI,Cloudastructure Inc.,technology,software-infrastructure
3083,CSBR,"Champions Oncology, Inc.",healthcare,biotechnology
3084,CSCI,COSCIENS Biopharma Inc.,healthcare,biotechnology
3085,CSCO,"Cisco Systems, Inc.",technology,communication-equipment
3086,CSGP,"CoStar Group, Inc.",real-estate,real-estate-services
3087,CSGS,"CSG Systems International, Inc.",technology,software-infrastructure
3088,CSIQ,Canadian Solar Inc.,technology,solar
3089,CSPI,CSP Inc.,technology,information-technology-services
3090,CSQ,Calamos Strategic Total Return Fund,financial-services,asset-management
3091,CSTE,Caesarstone Ltd.,industrials,building-products-equipment
3092,CSTL,"Castle Biosciences, Inc.",healthcare,diagnostics-research
3093,CSWC,Capital Southwest Corporation,financial-services,asset-management
3094,CSWI,"CSW Industrials, Inc.",industrials,specialty-industrial-machinery
3095,CSX,CSX Corporation,industrials,railroads
3096,CTAS,Cintas Corporation,industrials,specialty-business-services
3097,CTBI,"Community Trust Bancorp, Inc.",financial-services,banks-regional
3098,CTKB,"Cytek Biosciences, Inc.",healthcare,medical-devices
3099,CTLP,"Cantaloupe, Inc.",technology,information-technology-services
3100,CTMX,"CytomX Therapeutics, Inc.",healthcare,biotechnology
3101,CTNM,"Contineum Therapeutics, Inc.",healthcare,biotechnology
3102,CTNT,Cheetah Net Supply Chain Service Inc.,industrials,integrated-freight-logistics
3103,CTOR,"Citius Oncology, Inc.",healthcare,drug-manufacturers-specialty-generic
3104,CTRM,Castor Maritime Inc.,industrials,marine-shipping
3105,CTRN,"Citi Trends, Inc.",consumer-cyclical,apparel-retail
3106,CTSH,Cognizant Technology Solutions Corporation,technology,information-technology-services
3107,CTSO,Cytosorbents Corporation,healthcare,medical-devices
3108,CTXR,"Citius Pharmaceuticals, Inc.",healthcare,biotechnology
3109,CUB,Lionheart Holdings,financial-services,shell-companies
